Name,Class,Ship Type,Navy,Navy Acronym,Country,Launch Year,Launch Note
U-2325,Type XXIII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-2326,Type XXIII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-235,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-238,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-239,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-24,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-240,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-241,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-249,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-25,Type I-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-2501,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-251,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-2549,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-26,Type I-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-27,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-28,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-287,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-29,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-3,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-30,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-3001,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3008,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3009,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3010,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3011,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3012,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3013,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3014,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3015,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3016,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3017,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3019,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-3036,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,1945,Actual
U-3042,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3043,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3048,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3049,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3052,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3053,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3054,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3055,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3056,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3057,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3058,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3059,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3060,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3061,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3062,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3063,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-31,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-32,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1937,Actual
U-33,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-331,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-332,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-333,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-334,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-34,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-35,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-3504,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3505,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3510,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3511,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3512,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3515,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3516,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3517,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3518,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
